"Date","Price","Open","High","Low","Vol.","Change %"
"12-01-2021","6,222.00","6,230.00","6,242.00","6,120.00","0.80K","0.39%"
"11-01-2021","6,198.00","6,012.00","6,226.00","6,012.00","1.69K","2.96%"
"08-01-2021","6,020.00","5,990.00","6,050.00","5,962.00","0.47K","0.53%"
"07-01-2021","5,988.00","6,048.00","6,080.00","5,970.00","0.63K","-0.76%"
"06-01-2021","6,034.00","6,050.00","6,080.00","5,952.00","0.89K","0.27%"
"05-01-2021","6,018.00","5,946.00","6,050.00","5,910.00","0.68K","0.91%"
"04-01-2021","5,964.00","5,934.00","5,964.00","5,862.00","0.57K","1.98%"
"01-01-2021","5,848.00","5,934.00","5,946.00","5,826.00","0.50K","-1.28%"
"31-12-2020","5,924.00","5,930.00","5,998.00","5,902.00","0.57K","-0.30%"
"30-12-2020","5,942.00","5,920.00","5,948.00","5,906.00","0.55K","0.47%"
"29-12-2020","5,914.00","5,880.00","5,988.00","5,864.00","1.20K","0.20%"
"28-12-2020","5,902.00","5,822.00","5,914.00","5,810.00","1.70K","1.72%"
"24-12-2020","5,802.00","5,766.00","5,818.00","5,764.00","0.26K","0.52%"
"23-12-2020","5,772.00","5,720.00","5,840.00","5,712.00","1.45K","0.80%"
"22-12-2020","5,726.00","5,690.00","5,786.00","5,690.00","0.70K","0.70%"
"21-12-2020","5,686.00","5,750.00","5,750.00","5,680.00","0.69K","-0.25%"
"18-12-2020","5,700.00","5,650.00","5,700.00","5,650.00","0.35K","0.04%"
"17-12-2020","5,698.00","5,698.00","5,698.00","5,698.00","0.07K","0.14%"
"16-12-2020","5,690.00","5,700.00","5,700.00","5,654.00","0.08K","-0.35%"
"15-12-2020","5,710.00","5,700.00","5,710.00","5,700.00","0.32K","1.10%"
"14-12-2020","5,648.00","5,590.00","5,722.00","5,582.00","1.41K","0.61%"
"11-12-2020","5,614.00","5,606.00","5,660.00","5,550.00","1.72K","-0.18%"
"10-12-2020","5,624.00","5,640.00","5,650.00","5,570.00","1.44K","-0.25%"
"09-12-2020","5,638.00","5,604.00","5,674.00","5,570.00","2.39K","0.11%"
"08-12-2020","5,632.00","5,510.00","5,632.00","5,500.00","3.38K","1.99%"
"07-12-2020","5,522.00","5,500.00","5,534.00","5,462.00","2.25K","0.18%"
"04-12-2020","5,512.00","5,512.00","5,522.00","5,490.00","1.00K","-0.18%"
"03-12-2020","5,522.00","5,500.00","5,530.00","5,500.00","1.03K","0.33%"
"02-12-2020","5,504.00","5,500.00","5,528.00","5,470.00","1.57K","-0.36%"
"01-12-2020","5,524.00","5,538.00","5,566.00","5,502.00","1.19K","-0.22%"
"27-11-2020","5,536.00","5,500.00","5,550.00","5,492.00","1.64K","0.58%"
"26-11-2020","5,504.00","5,532.00","5,560.00","5,492.00","1.22K","-0.90%"
"25-11-2020","5,554.00","5,548.00","5,600.00","5,516.00","1.16K","-0.32%"
"24-11-2020","5,572.00","5,690.00","5,690.00","5,506.00","1.80K","-2.38%"
"23-11-2020","5,708.00","5,716.00","5,738.00","5,692.00","0.49K","0.14%"
"20-11-2020","5,700.00","5,700.00","5,700.00","5,700.00","0.01K","0.04%"
"19-11-2020","5,698.00","5,700.00","5,700.00","5,698.00","0.16K","-0.11%"
"18-11-2020","5,704.00","5,710.00","5,718.00","5,670.00","0.03K","-0.52%"
"17-11-2020","5,734.00","5,700.00","5,768.00","5,700.00","0.06K","1.27%"
"13-11-2020","5,662.00","5,742.00","5,768.00","5,652.00","1.42K","-2.01%"
"12-11-2020","5,778.00","5,712.00","5,794.00","5,712.00","0.90K","0.80%"
"11-11-2020","5,732.00","5,698.00","5,740.00","5,698.00","0.95K","0.39%"
"10-11-2020","5,710.00","5,736.00","5,738.00","5,682.00","2.91K","-0.35%"
"09-11-2020","5,730.00","5,770.00","5,780.00","5,710.00","1.59K","-0.69%"
"06-11-2020","5,770.00","5,742.00","5,790.00","5,740.00","0.36K","-0.10%"
"05-11-2020","5,776.00","5,766.00","5,830.00","5,750.00","1.31K","0.14%"
"04-11-2020","5,768.00","5,780.00","5,798.00","5,750.00","1.57K","0.17%"
"03-11-2020","5,758.00","5,732.00","5,788.00","5,720.00","1.26K","0.03%"
"02-11-2020","5,756.00","5,830.00","5,838.00","5,712.00","2.07K","-1.24%"
"30-10-2020","5,828.00","5,844.00","5,850.00","5,816.00","0.33K","-0.14%"
"29-10-2020","5,836.00","5,850.00","5,850.00","5,772.00","2.50K","-0.82%"
"28-10-2020","5,884.00","5,930.00","5,946.00","5,868.00","3.38K","-0.88%"
"27-10-2020","5,936.00","6,020.00","6,028.00","5,900.00","1.84K","-0.93%"
"26-10-2020","5,992.00","6,012.00","6,038.00","5,972.00","0.84K","-0.23%"
"23-10-2020","6,006.00","6,016.00","6,026.00","5,932.00","1.64K","0.00%"
"22-10-2020","6,006.00","5,986.00","6,060.00","5,986.00","1.10K","-0.10%"
"21-10-2020","6,012.00","6,046.00","6,080.00","5,984.00","1.61K","2.77%"
"20-10-2020","5,850.00","5,850.00","5,850.00","5,850.00","0.10K","-0.48%"
"19-10-2020","5,878.00","5,808.00","5,880.00","5,808.00","0.34K","3.20%"
"16-10-2020","5,696.00","5,760.00","5,760.00","5,662.00","0.03K","-1.35%"
"15-10-2020","5,774.00","5,760.00","5,782.00","5,760.00","0.11K","0.59%"
