Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
27-09-2023,61080.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,126,0
26-09-2023,61080.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,127,0
25-09-2023,61080.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,128,0
22-09-2023,61080.0,61080.0,61080.0,61080.0,1,1.63%,4,31Jan2024,131,0
21-09-2023,60100.0,60100.0,60100.0,60100.0,1,-2.05%,5,31Jan2024,132,0
20-09-2023,61360.0,0.0,0.0,0.0,0,0.00%,5,31Jan2024,133,0
19-09-2023,61360.0,0.0,0.0,0.0,0,0.00%,5,31Jan2024,134,0
18-09-2023,61360.0,0.0,0.0,0.0,0,0.00%,5,31Jan2024,135,0
15-09-2023,61360.0,61360.0,61360.0,61360.0,1,0.52%,5,31Jan2024,138,0
14-09-2023,61040.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,139,0
13-09-2023,61040.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,140,0
12-09-2023,61040.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,141,0
11-09-2023,61040.0,0.0,0.0,0.0,0,0.00%,4,31Jan2024,142,0
08-09-2023,61040.0,61080.0,61080.0,61000.0,2,1.23%,4,31Jan2024,145,0
07-09-2023,60300.0,60300.0,60300.0,60300.0,1,-1.76%,2,31Jan2024,146,0
06-09-2023,61380.0,61000.0,61740.0,61000.0,2,1.45%,3,31Jan2024,147,0
05-09-2023,60500.0,0.0,0.0,0.0,0,0.00%,1,31Jan2024,148,0
04-09-2023,60500.0,60500.0,60500.0,60500.0,1,3.42%,1,31Jan2024,149,0
01-09-2023,58500.0,0.0,0.0,0.0,0,-2.40%,0,31Jan2024,152,1
31-08-2023,59940.0,59960.0,60100.0,59760.0,6,0.27%,68,30Nov2023,91,0
30-08-2023,59780.0,59760.0,59800.0,59760.0,2,0.34%,64,30Nov2023,92,0
29-08-2023,59580.0,59500.0,59780.0,59500.0,4,0.85%,63,30Nov2023,93,0
28-08-2023,59080.0,59300.0,59600.0,58360.0,12,-0.17%,60,30Nov2023,94,0
25-08-2023,59180.0,59160.0,59300.0,59080.0,12,0.17%,55,30Nov2023,97,0
24-08-2023,59080.0,59000.0,59140.0,59000.0,14,0.17%,47,30Nov2023,98,0
23-08-2023,58980.0,59000.0,59000.0,58900.0,4,-0.51%,36,30Nov2023,99,0
